Files,Scanner Results
rsa-md2.license,Non-commercial [N]; LicenseRef-scancode-rsa-md2 [Sc: 100%]
rsa-md4.license,RSA-MD [N][M: 82%]; LicenseRef-scancode-rsa-md4 [Sc: 100%]
rsa-md5.license,RSA-MD [N][M: 79%][Sc: 100%]
rsa-proprietary.license,RSA-possibility [N]; LicenseRef-scancode-rsa-proprietary [Sc: 50%]
rsalv2.license,UnclassifiedLicense [N]; Elastic-2.0 [M: 71%][Sc: 78%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
rtools-util.license,No_license_found [N]; LicenseRef-scancode-rtools-util [Sc: 100%]
ruby-pty.license,Ruby [N]; LicenseRef-scancode-other-permissive [Sc: 85%]
ruby.license,Ruby [N][M: 100%][Sc: 100%]; GPL [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; BSD-2-Clause [Sc: 100%]
rubyencoder-commercial.license,UnclassifiedLicense [N]; LicenseRef-scancode-rubyencoder-commercial [Sc: 100%]
rubyencoder-loader.license,UnclassifiedLicense [N]; LicenseRef-scancode-rubyencoder-loader [Sc: 100%]
rute.license,Non-commercial [N]; LicenseRef-scancode-rute [Sc: 100%]
rxtx-exception-lgpl-2.1.license,LGPL-2.1-or-later [N][Sc: 100%]; LGPL-2.1-only [Sc: 100%]; LicenseRef-scancode-rxtx-exception-lgpl-2.1 [Sc: 100%]
ryszard-szopa.license,No_license_found [N]; LicenseRef-scancode-ryszard-szopa [Sc: 100%]
saas-mit.license,MIT [N][M: 81%][Sc: 100%]; LicenseRef-scancode-saas-mit [Sc: 100%]
saf.license,ATT-style [N]; LicenseRef-scancode-saf [Sc: 100%]
safecopy-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-safecopy-eula [Sc: 100%]
san-francisco-font.license,Apple-EULA [N]; Intel [N]; LicenseRef-scancode-san-francisco-font [Sc: 100%]
sandeep.license,UnclassifiedLicense [N]; LicenseRef-scancode-sandeep [Sc: 100%]
sane-exception-2.0-plus.license,GPL-2.0-or-later [N][Sc: 50%]; linking-exception [N]; SANE-exception [M: 92%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-sane-exception-2.0-plus [Sc: 100%]
sash.license,Freeware [N]; LicenseRef-scancode-sash [Sc: 100%]
sata.license,MIT [N]; LicenseRef-scancode-sata [Sc: 100%]
sax-pd-2.0.license,Public-domain [N]; SAX-PD [Sc: 50%]; LicenseRef-scancode-public-domain [Sc: 70%]
sax-pd.license,SAX-PD [N][M: 99%][Sc: 50%]; LicenseRef-scancode-public-domain [Sc: 70%]
saxix-mit.license,MIT [N][M: 85%][Sc: 73%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
saxpath.license,BSD-style [N]; GPL [N]; Saxpath [N][M: 96%][Sc: 100%]; Apache-1.1 [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
sbia-b.license,UnclassifiedLicense [N]; LicenseRef-scancode-sbia-b [Sc: 100%]
scancode-acknowledgment.license,No_license_found [N]; LicenseRef-scancode-scancode-acknowledgment [Sc: 100%]
scanlogd-license.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-scanlogd-license [Sc: 100%]
scansoft-1.2.license,BSD-3-Clause [N][M: 68%]; LicenseRef-scancode-scansoft-1.2 [Sc: 100%]
scea-1.0.license,SCEA [N][M: 100%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
schemereport.license,No_license_found [N]; SchemeReport [M: 92%][Sc: 100%]
scilab-en-2005.license,Non-commercial [N]; CECILL-1.1 [Sc: 100%]; LicenseRef-scancode-scilab-en [Sc: 100%]
scilab-fr.license,FSF-possibility [N]; CECILL-1.1 [Sc: 100%]; LicenseRef-scancode-scilab-fr [Sc: 100%]
scintilla.license,MIT-CMU-style [N]; HPND-Pbmplus [M: 72%]; LicenseRef-scancode-scintilla [Sc: 100%]
scola-en.license,UnclassifiedLicense [N]; LicenseRef-scancode-scola-en [Sc: 100%]
scola-fr.license,No_license_found [N]; LicenseRef-scancode-scola-fr [Sc: 100%]
scribbles.license,HP-possibility [N]; LicenseRef-scancode-scribbles [Sc: 100%]
script-asylum.license,No_license_found [N]; LicenseRef-scancode-script-asylum [Sc: 100%]
script-nikhilk.license,UnclassifiedLicense [N]; LicenseRef-scancode-script-nikhilk [Sc: 100%]
scrub.license,No_license_found [N]; LicenseRef-scancode-scrub [Sc: 100%]
scsl-3.0.license,Sun-possibility [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-scsl-3.0 [Sc: 100%]
secret-labs-2011.license,MIT-CMU-style [N]; MIT-CMU [M: 81%]; LicenseRef-scancode-secret-labs-2011 [Sc: 94%]
see-license.license,See-file [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
selinux-nsa-declaration-1.0.license,Public-domain [N]; libselinux-1.0 [M: 100%][Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]
semgrep-registry.license,UnclassifiedLicense [N]; Elastic-2.0 [M: 74%][Sc: 69%]
sencha-app-floss-exception.license,Apache-2.0 [N]; CDDL-1.0 [N]; EUPL-1.1 [N]; GPL [N]; LGPL-3.0-only [N]; MIT [N]; MPL [N]; MySQL-style [N]; NCSA [N]; PHP [N]; W3C [N]; Zimbra [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-sencha-app-floss-exception [Sc: 100%]
sencha-commercial-3.17.license,GPL-3.0-only [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-sencha-commercial-3.17 [Sc: 100%]
sencha-commercial-3.9.license,GPL-3.0-only [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-sencha-commercial-3.9 [Sc: 100%]
sencha-commercial.license,GPL-3.0-only [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sencha-commercial [Sc: 100%]
sencha-dev-floss-exception.license,Apache-2.0 [N]; Artistic-1.0 [N]; CDDL-1.0 [N]; EUPL-1.1 [N]; GPL-3.0-only [N][Sc: 100%]; LGPL-3.0-only [N]; MIT [N]; MPL [N]; NCSA [N]; PHP [N]; Python-2.0 [N]; W3C [N]; ZPL-2.0 [N]; Zimbra [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-sencha-dev-floss-exception [Sc: 100%]
sendmail-8.23.license,BSD-style [N]; Sendmail-8.23 [M: 93%][Sc: 100%]; Sendmail [Sc: 100%]
sendmail.license,Sendmail [N][M: 95%][Sc: 100%]; BSD-3-Clause [N]
service-comp-arch.license,UnclassifiedLicense [N]; LicenseRef-scancode-service-comp-arch [Sc: 95%]
sfl-license.license,Artistic-1.0 [N]; GPL [N]; iMatix [M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
sgi-cid-1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sgi-cid-1.0 [Sc: 100%]
sgi-freeb-1.1.license,SGI-B-1.1 [N][Sc: 100%]; SGI-B-2.0 [Sc: 100%]
sgi-freeb-2.0.license,SGI-B-2.0 [N][Sc: 100%]; X11 [M: 78%]; X11-distribute-modifications-variant [M: 81%]; MIT [M: 83%]
sgi-fslb-1.0.license,SGI-B-1.0 [N][M: 89%][Sc: 100%]
sgi-glx-1.0.license,SGI_GLX-1.0 [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sgi-glx-1.0 [Sc: 100%]
sglib.license,GPL [N]; LicenseRef-scancode-sglib [Sc: 100%]
sgp4.license,PHP-possibility [N]; SGP4 [M: 100%]; No_license_found [Sc]
sh-cla-1.1.license,See-file [N]; LicenseRef-scancode-generic-cla [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
shavlik-eula.license,GPL [N]; LicenseRef-scancode-shavlik-eula [Sc: 100%]
shital-shah.license,No_license_found [N]; LicenseRef-scancode-shital-shah [Sc: 100%]
shl-0.5.license,Apache-2.0 [N][Sc: 100%]; SHL-0.5 [M: 100%][Sc: 100%]; BSD-3-Clause [Sc: 92%]
shl-0.51.license,Apache-2.0 [N][Sc: 100%]; SHL-0.51 [M: 100%][Sc: 100%]; BSD-3-Clause [Sc: 92%]
shl-2.0.license,Apache-2.0 [N][Sc: 100%]; SHL-2.0 [M: 96%][Sc: 100%]
shl-2.1.license,Apache-2.0 [N][O][Sc: 100%]; SHL-2.1 [M: 89%][O][Sc: 100%]; Dual-license [O]
signal-gpl-3.0-exception.license,GPL-3.0-only [N][Sc: 100%]; MPL-2.0 [N][Sc: 100%]; LicenseRef-scancode-signal-gpl-3.0-exception [Sc: 100%]
silicon-image-2007.license,No_license_found [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]
simpl-1.1.license,W3C-style [N]; SimPL-2.0 [Sc: 100%]; LicenseRef-scancode-simpl-1.1 [Sc: 100%]
simpl-2-0-html.license,SimPL-2.0 [N][M: 83%][Sc: 100%]
simpl-2.0.license,SimPL-2.0 [N][M: 96%][Sc: 50%]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
six-labors-split-1.0.license,Apache-2.0 [N][Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-unknown [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
skip-2014.license,CC-BY-SA-4.0 [N][Sc: 100%]
sl.license,See-URL [N]; SL [M: 100%]; No_license_found [Sc]
sleepycat-php.license,Sleepycat [N][M: 96%][Sc: 100%]; BSD-3-Clause [Sc: 100%]
sleepycat.license,Sleepycat [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
slf4j-2005.license,MIT-style [N]; Clips [M: 77%]; ICU [Sc: 100%]
slf4j-2008.license,GPL [N]; MIT [N][M: 95%][Sc: 100%]
slint-commercial-2.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
slint-royalty-free-1.0.license,GPL-3.0-only [N]; Public-domain [N]; GPL-3.0-or-later [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-warranty-disclaimer [Sc: 81%]
slysoft-eula.license,Non-commercial [N]; LicenseRef-scancode-slysoft-eula [Sc: 100%]
smail-gpl.license,GPL-1.0-only [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-smail-gpl [Sc: 100%]
smartlabs-freeware.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-smartlabs-freeware [Sc: 100%]
smppl.license,GPL [N]; SMPPL [M: 100%][Sc: 100%]
smsc-non-commercial-2012.license,Non-commercial [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-smsc-non-commercial-2012 [Sc: 100%]
snapeda-design-exception-1.0.license,No_license_found [N]; LicenseRef-scancode-snapeda-design-exception-1.0 [Sc: 100%]
snia.license,MPL [N]; SNIA-1.0 [N]; SNIA [M: 99%][Sc: 100%]; MPL-1.1 [Sc: 50%]; GPL-1.0-or-later [Sc: 54%]
snmp4j-smi.license,Public-domain [N]; LicenseRef-scancode-snmp4j-smi [Sc: 100%]
snprintf.license,Freeware [N]; LicenseRef-scancode-snprintf [Sc: 100%]
softerra-ldap-browser-eula.license,Intel [N]; LicenseRef-scancode-softerra-ldap-browser-eula [Sc: 100%]
softfloat-2.0.license,BSD-style [N]; LicenseRef-scancode-softfloat-2.0 [Sc: 100%]
softfloat-2c.license,UnclassifiedLicense [N]; LicenseRef-scancode-proprietary-license [Sc: 78%]; LicenseRef-scancode-softfloat [Sc: 78%]
softfloat.license,BSD-possibility [N]; LicenseRef-scancode-softfloat [Sc: 100%]
softsurfer.license,No_license_found [N]; LicenseRef-scancode-softsurfer [Sc: 100%]
solace-software-eula-2020.license,See-file [N]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-solace-software-eula-2020 [Sc: 100%]
soml-1.0.license,Non-commercial [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-unknown [Sc: 99%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
soundex.license,Freeware [N]; Soundex [M: 85%]; LicenseRef-scancode-other-permissive [Sc: 91%]
sourcegraph-enterprise-2018.license,MIT-style [N]; LicenseRef-scancode-gitlab-ee [Sc: 91%]
spark-jive.license,UnclassifiedLicense [N]; LicenseRef-scancode-spark-jive [Sc: 100%]
sparky.license,BSD-2-Clause [N][M: 80%]; LicenseRef-scancode-sparky [Sc: 100%]
speechworks-1.1.license,BSD-3-Clause [N][M: 68%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-speechworks-1.1 [Sc: 100%]
spell-checker-exception-lgpl-2.1-plus.license,LGPL-2.1-or-later [N][Sc: 100%]; i2p-gpl-java-exception [M: 71%]; LGPL-2.1-only [Sc: 100%]; LicenseRef-scancode-spell-exception-lgpl-2.1-plus [Sc: 100%]
spl-1.0.license,SPL-1.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-free-unknown [Sc: 100%]
splunk-3pp-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-splunk-3pp-eula [Sc: 100%]
splunk-mint-tos-2018.license,Public-domain [N]; LicenseRef-scancode-splunk-mint-tos-2018 [Sc: 100%]
splunk-sla.license,Apache [N]; BSD [N]; CPL [N]; GPL [N]; LGPL [N]; MIT [N]; MPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-splunk-sla [Sc: 100%]
square-cla.license,UnclassifiedLicense [N]; LicenseRef-scancode-generic-cla [Sc: 100%]; LicenseRef-scancode-square-cla [Sc: 100%]
squeak.license,Apple [N]; LicenseRef-scancode-squeak [Sc: 100%]
srgb.license,HP [N]; LicenseRef-scancode-srgb [Sc: 100%]
ssh-keyscan.license,UnclassifiedLicense [N]; ssh-keyscan [M: 80%]; LicenseRef-scancode-other-permissive [Sc: 100%]
ssleay-windows.license,OpenSSL [N][Sc: 100%]; SSLeay [N]; LicenseRef-scancode-ssleay-windows [Sc: 100%]
ssleay.license,OpenSSL [N][Sc: 100%]; SSLeay [N]; BSD-2-Clause [M: 72%]; LicenseRef-scancode-ssleay [Sc: 100%]
st-bsd-restricted.license,BSD-3-Clause [N]; LicenseRef-scancode-st-bsd-restricted [Sc: 100%]
st-mcd-2.0.license,MIT [N]; BSD [N]; GPL [N]; LicenseRef-scancode-st-mcd-2.0 [Sc: 64%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
stable-diffusion-2022-08-22.license,No_license_found [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]
standard-ml-nj.license,BSD-style [N]; SMLNJ [Sc: 100%]
stanford-mrouted.license,Stanford [N]; LicenseRef-scancode-stanford-mrouted [Sc: 100%]
stanford-pvrg.license,Public-domain [N]; LicenseRef-scancode-stanford-pvrg [Sc: 100%]
statewizard.license,BSD-style [N]; GPL [N]; LGPL [N]; LGPL-2.0-or-later [Sc: 75%]; GPL-1.0-or-later [Sc: 85%]; BSD-3-Clause [Sc: 99%]; LicenseRef-scancode-statewizard [Sc: 100%]
stax.license,BEA [N]; LicenseRef-scancode-stax [Sc: 100%]
stlport-2000.license,MIT-CMU-style [N]; NotreDame-style [N]; Boehm-GC [M: 74%]; LicenseRef-scancode-stlport-2000 [Sc: 100%]
stlport-4.5.license,NotreDame-style [N]; Boehm-GC [M: 74%]; LicenseRef-scancode-stlport-4.5 [Sc: 100%]
stmicroelectronics-centrallabs.license,BSD-3-Clause [N]; LicenseRef-scancode-stmicroelectronics-centrallabs [Sc: 100%]
stmicroelectronics-linux-firmware.license,UnclassifiedLicense [N]; LicenseRef-scancode-stmicro-linux-firmware [Sc: 100%]
stream-benchmark.license,Non-commercial [N]; LicenseRef-scancode-stream-benchmark [Sc: 100%]
strongswan-exception.license,GPL [N]; LGPL [N]; stunnel-exception [M: 75%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-strongswan-exception [Sc: 100%]
stu-nicholls.license,No_license_found [N]; LicenseRef-scancode-stu-nicholls [Sc: 100%]
stunnel-exception.license,GPL [N]; LGPL [N]; stunnel-exception [M: 100%]; LicenseRef-scancode-strongswan-exception [Sc: 77%]; OpenSSL [Sc: 100%]
subcommander-exception-2.0-plus.license,GPL-2.0-or-later [N][Sc: 50%]; openvpn-openssl-exception [M: 75%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-subcommander-exception-2.0plus [Sc: 100%]
sugarcrm-1.1.3.license,SugarCRM-1.1.3 [N][Sc: 50%]; MPL-1.1 [M: 89%][Sc: 100%]; CUA-OPL-1.0 [M: 93%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
sun-bcl-11-06.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-11-06 [Sc: 100%]
sun-bcl-11-07.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-11-07 [Sc: 100%]
sun-bcl-11-08.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-11-08 [Sc: 100%]
sun-bcl-j2re-1.2.x.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-j2re-1.2.x [Sc: 100%]
sun-bcl-j2re-1.4.2.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-j2re-1.4.2 [Sc: 100%]
sun-bcl-j2re-1.4.x.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-j2re-1.4.x [Sc: 100%]
sun-bcl-j2re-5.0.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-j2re-5.0 [Sc: 100%]
sun-bcl-java-servlet-imp-2.1.1.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-sun-bcl-java-servlet-imp-2.1.1 [Sc: 100%]
sun-bcl-javahelp.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-javahelp [Sc: 100%]
sun-bcl-jimi-sdk.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-jimi-sdk [Sc: 100%]
sun-bcl-jre6.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-jre6 [Sc: 100%]
sun-bcl-jsmq.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-jsmq [Sc: 100%]
sun-bcl-opendmk.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-opendmk [Sc: 100%]
sun-bcl-openjdk.license,Sun-BCLA [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-sun-bcl-openjdk [Sc: 100%]
sun-bcl-sdk-1.3.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-sdk-1.3 [Sc: 100%]
sun-bcl-sdk-1.4.2.license,Sun-BCLA [N]; SunJDK6 [M: 74%]; LicenseRef-scancode-sun-bcl-sdk-1.4.2 [Sc: 100%]
sun-bcl-sdk-5.0.license,Sun-BCLA [N]; SunJDK6 [M: 94%]; LicenseRef-scancode-sun-bcl-sdk-5.0 [Sc: 100%]
sun-bcl-sdk-6.0.license,Sun-BCLA [N]; SunJDK6 [M: 88%]; LicenseRef-scancode-sun-bcl-sdk-6.0 [Sc: 100%]
sun-bcl-web-start.license,Sun-BCLA [N]; LicenseRef-scancode-sun-bcl-web-start [Sc: 100%]
sun-bsd-extra.license,UnclassifiedLicense [N]; BSD-3-Clause [Sc: 90%]; LicenseRef-scancode-sun-bsd-extra [Sc: 100%]
sun-bsd-no-nuclear.license,BSD-3-Clause [N][Sc: 90%]; BSD-3-Clause-No-Nuclear-License [M: 96%][Sc: 50%]
sun-cc-pp-1.0.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sun-jta-spec-1.0.1 [Sc: 97%]
sun-communications-api.license,Sun-BCLA [N]; LicenseRef-scancode-sun-communications-api [Sc: 100%]
sun-ejb-spec-2.1.license,Restricted-rights [N]; LicenseRef-scancode-sun-ejb-spec-2.1 [Sc: 100%]
sun-ejb-spec-3.0.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-sun-ejb-spec-3.0 [Sc: 100%]
sun-entitlement-03-15.license,Sun [N]; LicenseRef-scancode-sun-entitlement-03-15 [Sc: 100%]
sun-entitlement-jaf.license,Sun [N]; LicenseRef-scancode-sun-entitlement-jaf [Sc: 100%]
sun-glassfish.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-sun-glassfish [Sc: 100%]
sun-iiop.license,Govt-restrict [N]; LicenseRef-scancode-sun-iiop [Sc: 100%]
sun-java-transaction-api.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-sun-jta-spec-1.0.1 [Sc: 100%]; LicenseRef-scancode-sun-java-transaction-api [Sc: 100%]
sun-java-web-services-dev-pack-1.6.license,RSA-Security [N]; Sun-BCLA [N]; LicenseRef-scancode-sun-java-web-services-dev-1.6 [Sc: 100%]
sun-javamail.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-sun-javamail [Sc: 100%]
sun-jsr-spec-04-2006.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-sun-jsr-spec-04-2006 [Sc: 100%]
sun-jta-spec-1.0.1.license,Restricted-rights [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sun-jta-spec-1.0.1 [Sc: 100%]
sun-jta-spec-1.0.1b.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sun-jta-spec-1.0.1b [Sc: 100%]
sun-no-high-risk-activities.license,UnclassifiedLicense [N]; LicenseRef-scancode-sun-no-high-risk-activities [Sc: 100%]
sun-ppp-2000.license,CMU-style [N]; LicenseRef-scancode-other-permissive [Sc: 57%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
sun-ppp.license,Sun-possibility [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
sun-project-x.license,See-file [N]; LicenseRef-scancode-sun-project-x [Sc: 100%]
sun-prop-non-commercial.license,Sun-Proprietary [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-sun-prop-non-commercial [Sc: 100%]
sun-proprietary-jdk.license,Non-commercial [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]
sun-rpc.license,Sun-RPC [N]; Rdisc [M: 75%]; LicenseRef-scancode-sun-rpc [Sc: 100%]
sun-sdk-spec-1.1.license,Restricted-rights [N]; LicenseRef-scancode-sun-sdk-spec-1.1 [Sc: 100%]
sun-sissl-1.0.license,SISSL [N][M: 89%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sun-sissl-1.0 [Sc: 100%]
sun-sissl-1.1.license,SISSL-1.1 [N]; SISSL [M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
sun-sissl-1.2.license,SISSL-1.2 [N][M: 99%][Sc: 50%]; SISSL [Sc: 50%]
sun-source.license,Freeware [N]; Rdisc [M: 71%]; LicenseRef-scancode-sun-source [Sc: 100%]
sun-ssscfr-1.1.license,See-file [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sun-ssscfr-1.1 [Sc: 100%]
sunpro.license,Freeware [N]; LicenseRef-scancode-sunpro [Sc: 100%]
sunpublic-php.license,SPL-1.0 [N][M: 99%][Sc: 100%]
sunsoft.license,MIT [N][M: 86%]; X11 [M: 81%]; X11-distribute-modifications-variant [M: 82%]; LicenseRef-scancode-sunsoft [Sc: 100%]
supervisor.license,Python [N]; ZPL [N]; ZPL-2.1 [N][M: 99%]; HPND [M: 73%]; WebM [M: 94%]; BSD-3-Clause-Modification [M: 98%][Sc: 100%]; LicenseRef-scancode-supervisor [Sc: 100%]
sustainable-use-1.0.license,Non-commercial [N]; Elastic-2.0 [M: 75%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-sustainable-use-1.0 [Sc: 100%]
svndiff.license,BSD-style [N]; BSD-2-Clause [M: 83%]; LicenseRef-scancode-svndiff [Sc: 100%]
swi-exception.license,GPL-2.0-only [N]; linking-exception [N]; SWI-exception [M: 100%]; gnu-javamail-exception [Sc: 50%]; GPL-2.0-or-later [Sc: 50%]; LicenseRef-scancode-generic-exception [Sc: 99%]
swig.license,GPL [N]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-swig [Sc: 100%]
swl.license,GPL [N]; MIT-style [N]; SWL [M: 100%][Sc: 100%]; LicenseRef-scancode-other-copyleft [Sc: 80%]
swrule.license,No_license_found [N]; swrule [M: 100%]; LicenseRef-scancode-warranty-disclaimer [Sc: 100%]
sybase.license,Watcom-1.0 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
symlinks.license,Public-domain [N]; Symlinks [M: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
symphonysoft.license,Apache [N]; BSD-4-Clause [N]; BSD-3-Clause [M: 69%]; LicenseRef-scancode-symphonysoft [Sc: 100%]
synopsys-attribution.license,UnclassifiedLicense [N]; LicenseRef-scancode-synopsys-attribution [Sc: 100%]
synopsys-mit.license,MIT [N][Sc: 100%]; MIT-testregex [M: 75%]; LicenseRef-scancode-synopsys-mit [Sc: 100%]
syntext-serna-exception-1.0.license,AFL-3.0 [N]; Apache-2.0 [N]; Artistic-1.0 [N]; CDDL-1.0 [N]; GPL-3.0-only [N][Sc: 100%]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; Python-2.0 [N]; X11 [N]; ZPL-2.1 [N]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-syntext-serna-exception-1.0 [Sc: 100%]
synthesis-toolkit.license,MIT [N][M: 77%]; LicenseRef-scancode-synthesis-toolkit [Sc: 100%]
t-engine-public.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
t-license-1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]
t-license-2.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
t-license-2.1.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
t-license-2.2.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
t-license-amp-t-kernel.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
t-license-amp-tkse.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 53%]
t-license-smp-t-kernel.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
t-license-smp-tkse.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
t-license-tkse.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 53%]
takao-abe.license,MIT-style [N]; LicenseRef-scancode-takao-abe [Sc: 100%]
takuya-ooura.license,Freeware [N]; LicenseRef-scancode-takuya-ooura [Sc: 100%]
